标题,内容
"能不能消除硬块,肿块影响行走,感觉有点紧绷",看过你的病情介绍，你只是说小腿运动拉伤，没有说明具体的损伤部位，建议你拍张照片儿发过来。如果是肌肉拉伤，这种情况就是休息，口服药物，一般慢慢会恢复，你这种情况要排除跟腱损伤的可能。
足内裸处有伤,你这种情况考虑内踝韧带慢性损伤的可能性比较大，建议去当地医院骨科就诊，可以拍摄核磁共振，目前要注意适当活动，明确诊断后可以理疗，比如热敷，红外线照射，按摩，可以使用具有活血化瘀作用的药物治疗。
身体不平衡，差异太大,你好，建议这种情况必须到医院进一步检查，如果是先天性的发育不对称可以进行手术治疗，但是如果是疾病导致的，就无法进行手术治疗，所以必须到大医院进行诊治。 
"打球时脚筋拉断,手术接筋,用石膏固定",
我的腰有事吗？,打篮球时出现腰部疼痛，考虑是腰肌扭伤了，腰肌扭伤后是软组织损伤，要注意休息的，建议近期不要再继续打球了，腰部可以拔火罐，贴膏药热敷治疗，休息一段时间。也经常发生脚扭伤的情况，就不建议在脚扭伤后没有充分休息，治疗的情况下继续打球，这样会导致韧带的劳损，建议去正规医院踝关节拍片检查，评估一下病情。
一个膝关节痛，长期潮湿工作史，请问是风湿还是什么病,
昨天我打篮球扭伤了脚，扭伤了脚，请医生们帮帮忙！谢,你好，首先应该进行局部冷敷，减少局部出血，48小时后进行局部热敷，促进炎症的吸收，另外建议及时到医院进行拍片确诊，看是否有骨折的现象。 
昨天我打篮球扭伤了脚，脚裸肿的很大，而且还很痛，我,
我的脚踝骨折已经80天请骨科医生看过来,"骨折或关节损伤后引起周围筋骨组织损伤，脉络受损，气血凝滞，阻塞经络，出现局部疼痛和压痛，尤其活动时疼痛更重。建议最好采用外用药物治疗.建议外敷传统中医外科膏药，通过膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进血液流畅和功能恢复。你的检查结果、发病部位、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果不明之处可随时咨询．祝早日康复！ "
,
脚指关节肿大,你好，从你的叙述看，不会是骨癌，考虑是创伤性关节炎，建议及时到医院进行检查，诊治。 
右膝关节退行性变怎么治疗?,你好！最好采用中医辩证治疗配合针灸，按摩等治疗看看！也可以服用壮骨关节丸看看！ 
我女儿五岁，前,你好。腱鞘囊肿是手和足部的关节或腱鞘的滑膜薄弱和滑液增多后发生的囊性隆起，好发于腕背部或足背部。表现：局部圆形包快，表面光滑，质地硬，基底固定，有压痛，与皮肤没有粘连。治疗：1，手法挤破，按摩，但容易复发。2，穿刺抽液【胶冻样粘液】后注射醋酸曲安奈德。3，手术治疗。 
积水是关节炎的一种么，可以根治么？,"滑膜炎能否彻底痊愈滑膜炎是滑膜受到刺激产生炎症，造成分泌液失调形成积液的一种关节病变，长期以来，影响患者的正常生活，工作，带来了很多麻烦，有些患者四处求医，反复发作，痛苦不堪，甚至心理蒙上一层阴影，滑膜炎是不治之症，那么滑膜炎能不能彻底治愈，我们认为注意三个环节，1.及时明确诊断；2.及时有效的综合治疗；3.及时的功能锻炼，做好日常保健，此三个环节缺一不可。1、及时明确诊断滑膜炎症状主要是关节肿胀，其次是疼痛，功能障碍，肌萎缩，所以如果发现有类似的情况应及时就诊，明确诊断，排除其它因素的可能，仔细检查，以防漏诊，避免延误病情。有些患者在没有正确诊断下，盲目的治疗，丧失了最佳治疗时机。2、及时有效的综合治疗经确诊后及时正规有效的治疗是很关键的，滑膜炎早期一般主要是急性期，采用西医方法，比如：激素、抽液、冲洗、抗生素等治疗，可以取得满意的疗效，若治疗不彻底，错过最佳治疗期，炎症逐渐转化为慢性期，反复积液滑膜肥厚、粘连，影响到关节的功能问题，本中心治疗技术综合，主要运用外贴以拔毒外出，软坚散法，活血化瘀，消肿止痛，口服益肾胶囊，补益肝肾，通经活络，祛风除湿，强骨壮筋，同时辅助九针，热敷等方法彻底治疗急慢性滑膜炎，疗效显著，2-3个疗程治愈，有些患者在用药以后症状很快控制，消失就停止治疗，但不知此时炎症并没有完全消除，容易造成积液反复，正确方法是症状消除后连续巩固15-30天时间。3、及时的功能锻炼和康复后保健滑膜在治疗过程中，关节要停止活动，甚至可能制动，目的是减少积液分泌，但是此方法容易引起关节功能丧失，肌萎缩，诱发关节的其它病变，我们主张治疗与功能锻炼同时进行，避免愈后并发症，因为本中心药物能快速有效控制滑膜炎症，配合正确的功能活动，可以加快积液的吸收，康复后的保健至关重要，因为正常的关节容易诱发滑膜炎，何况滑膜炎的愈后，所以愈后保健是很有必要，做到以上几个方面，滑膜炎可以彻底治愈。如需要我们的帮助可点击左边“进入其诊室”！祝早日康复！如我回答的对你满意，请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
请问跟腱炎有什么有效的疗法吗,你好！可以考虑中医辩证治疗配合中药熏洗治疗！！ 
"我是双跟骨骨折,内置固定材料取出2个多月了还是疼?","你好，你现在的情况应该是骨膜受损严重及骨折恢复的慢。平时还需要注意休息时抬高患肢,患肢低下放置个枕头,可以帮助血液循环,不要用患肢下床负重活动,可以在床上活动患肢的各个关节及脚趾,以免引起肌肉萎缩.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,可以帮助骨折促进骨痂(骨头)快速生长,提前愈合恢复的快些. "
我得的是＂痛风＂吗－－怎样根治？,可能是痛风，建议复查血尿酸。 
截肢后脚很痒,你说的这种情况，因为另一个是假肢，所以说这个健侧的足负重相对来说要多一些，血循环肯定受一定的影响，所以说建议不要长时间的活动，另外，可以每日用热水洗脚
"2礼拜前,小腿软组织挫伤,说需要两个礼拜",你好：1，考虑是由于小腿软组织挫伤导致的局部血液循环障碍引起的2，建议你可以口服红药片和氯唑沙宗片以及麦白霉素片即可3，卧床休息，休息的时候把患肢垫高即可 
"脚踝软骨受伤,怎么办?",你好，踝关节出现这样的情况，可以先保守治疗一段时间，服用活血止痛片氨基葡萄糖胶囊这两种药物，可以做针灸治疗，治疗半个月，如果还是没有效果，可以考虑关节镜手术治疗，这个手术不是很大的，可以到当地三甲医院的骨科先咨询一下
扁平足需要治疗么,你好：这个没有必要治疗的。你可以适当的运动。不要走路太多就可以了。 
近几年发现左脚长出了脚骨拐，买鞋子都成问题了，好苦,这个没有什么好的办法，只能是通过手术把他这个骨头给磨掉，然后呢，再给他做一下这方面的矫正和恢复的，所以说建议你平时穿鞋的时候最好还是要注意，不要穿鞋头特别尖的这东西
大脚指头不能弯曲,出现这样有可能是肌腱损伤或是脚趾的关节关节囊及周围韧带损伤所致的可能性大了，建议你方便时去当地公立医院手显微外科门诊医生查体检查一下久初步诊断了，现在你尽量穿宽松软底平底鞋子少量活动回家后热水泡脚后局部涂檫扶他林软膏观察看看的！
我前晚左膝盖撞到硬物,休息是最好的方式.服用活血止痛胶囊或骨筋丸 
这是什么原因?,"扭伤肿痛：病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。肌体因打击、压砸，碰撞或颠扑、负重、扭转等外力作用，致使受伤部位的组织内部大量毛细血管破裂，血液迅速渗出，破坏了正常微循环的平衡，形成局部淤血。症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。扭伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷（金创活络膏）,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的。不明之处可随时咨询．祝早日康复！ "
脚骨折5个星期后,石膏固定一般是4到6周，也可以根据愈合的情况来确定去石膏的时间。要是还没完全好可以带石膏拖一段时间。因为石膏固定腿部肌肉得不到活动，所以有萎缩也正常，等着去了石膏以后再开始锻炼就可以
早上醒来脚跟痛,你疼痛的部位缺乏详细讲述，但年轻人脚跟疼痛向你这样的情况，一般考虑跟腱拉伤后跟腱周围炎，首先注意保养，每晚局部热敷，外擦扶他林乳剂，避免踝部剧烈的运动，坚持半月，如未好转就到医院骨伤科治疗。祝早日康复，有问必答。 
扭脚3星期未消肿,"损伤肿痛多因打击、压砸，碰撞或颠扑、负重、扭转等外力作用在躯体上所致，症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。损伤后受伤部位淤血肿胀,经络不通,气血阻滞.目前临床上治疗方法很多，但是想取得好的效果，防止后遗症及复发，重要的是根据您的具体情况确定治疗方法和用药，建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.""膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。你的检查结果、主要症状、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果。不明之处可随时咨询．祝早日康复！ "
外敷草药一天，感觉怪怪的,你好，像这种情况，不可能一天就完全好的。外敷的中药只能临时消肿，但是它这个损伤还是存在，所以说脚是不能够一直下垂的。像这种损伤脚肯定是要抬高促进局部的血液循环。然后脚要自动不能够下地活动，一直要到一个月左右。
,
"我的手指和手掌连接处疼痛,左手的中指和右手的食指",你好：建议化验抗０，血沉，类风湿因子，Ｂ２７确诊是什么病再做治疗．你可以到我的诊室看看，祝早日康复。 
腓骨远端骨裂一个月尚未愈合，应该怎么办？,
"我上星期二跟骨骨折,有小骨片游离,因为还能走",
我今年34岁了，从年轻时起就有脚后跟疼的毛病。,"，受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
"骨折病人应多吃什么食物,忌吃什么食物?谢谢",
膝盖疼痛２６年，是先天性关节炎吗？,你的情况考虑是膝关节的风湿性的病变所引起的，你这种情况考虑应该避免着凉，加强补钙，可以用中医中药来进行治疗，可以通过针灸或者烤电的方法进行治疗，效果都是非常好的，我建议你最好还只先做个B超检查一下看里面有没有积液，如果有的话一定要穿刺把积液抽出来，并且要采用加压包扎 
腿膝关节交叉韧带及副韧带损伤,"只要确诊膝关节交叉韧带及副韧带没有断裂可以通过保守治疗就可痊愈,如果有断裂就必须手术治疗.你的情况如关节腔如有积血,需抽除积血后制动关节(一般在伤后7天左右),外贴膏药没有用,现在可用止血,消炎,止痛等对症药物,一般需45天左右即可痊愈,祝你早日康复. "
左脚第五趾骨基底部骨折最少需要几天才能下地行走?谢,你好，左脚第五趾骨骨折至少需要休息4－6周才能下地行走。 
左脚第五趾骨基底部骨,根据你说的情况，这个部位骨折愈合相对较慢，一般的需要石膏外固定治疗至少6周时间。下地负重走路也的需要八周的时间。（X线片提示骨折愈合才可以。）
请问一下足跟疼痛如何进行保守治疗，如果有骨刺如何治,如果说有骨刺的话我建议你最好是通过手术的方法进行治疗建议你一定要注意休息和加强补钙，避免着凉，减少运动量，可以做局部的按摩和热敷，最好是再配合中医中药进行巩固的治疗。也可以做封闭的治疗，效果非常好，能够促进伤部的恢复和好转，非常有效的，希望你一定要重视我所说的情况。，在恢复的过程中， 
后十字韧带肿胀,如果说有积水的话我建议你最好做无菌穿刺把里面的积水给抽出来，并且要做加压包扎来处理，建议你一定要注意休息和加强补钙，避免着凉，减少运动量，可以做局部的按摩和热敷，最好是再配合中医中药进行巩固的治疗，也可以做封闭的治疗，效果非常好，能够促进伤部的恢复和好转，非常有效的，希望你一定要重视我所说的情况。 
腓骨远端骨折一个月了还没有愈合怎么办？,你好，可以试一试偏方，但是我建议你最好购买一些中医接骨药进行口服治疗，一般提前愈合骨折，一般及时进行功能锻炼。 
脚跟突然疼起来,"你好考虑是遮筋膜炎,穿平底鞋,用醋泡脚.服份必得试一试 "
关于膝盖部位受伤的问题！!!!,你好，必须经过医生详细物理检查，才能明确诊断。排除半月板损伤。创伤性滑膜炎。可以MRI检查确诊。 
我的骨裂多久能好,左足小趾趾骨骨折，骨折无明显移位，应该保守治疗，保守治疗包括石膏或者支具固定，抬高患肢以利于消肿，口服活血化瘀接骨药物。定期复查X光片，如果不固定，容易移位。
膝盖部位损伤的苦恼！急！！！！,"你好我认为你做个瓷共震看半月板有没有损伤,如果没有可以进行锻炼 "
做完完脚筋手术，但现在行走困难，蹲不下去，请问应该,根据你说的情况来看是有腰椎间盘突出压迫神经根引起的腰部腿部疼痛情况啊，这种情况建议到当地医院骨科就诊，做一下腰椎磁共振检查，平时多注意保暖，避免受凉，少弯腰活动，腰部热敷一下，口服点非甾体抗炎药物和神经营养药物治疗
脚踝肿胀难消！,
"谢谢您抽出宝贵的时间回答我的问题,我还想向您咨询一下",指导意见：
两个小腿前侧隐隐作痛,"是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
脚踝轻按会痛,你好，根据你的症状和图片显示。你可能是有踝关节炎。可以是急性损伤，一般见于外伤引起。肌肉肌腱，筋膜拉伤。或者是无菌性的炎症，风湿性的。建议你近期注意休息，避免剧烈振动。可以外贴膏药口服药物。及时到医院进一步拍片检查，检查风湿因子等在治疗
后脚跟以上的筋痛是怎么回事,"你这是典型腰腿综合症，是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
我很痛苦呀?请帮帮我脚扭伤一年.,"你好，平时注意减少剧烈运动，走路时减少用患肢的负重，多保暖，避免着凉。建议你服用专业的活血化瘀,舒筋活络,消肿止痛药物八仙愈合散治疗,7天症状明显减轻,30天就可以治愈. "
脚是否痊愈,"你好，这是正常的，平时还需要注意减少用患肢负重及剧烈运动，多保暖，夏天不要吹空调。可以配合服用专业的活血化瘀,舒筋活络,消肿止痛药物八仙愈合散治疗,一般20天就可以恢复正常。 "
"我腿比较粗,有没有什么方法只瘦腿的",根据你身体腿部肌肉较粗，想要进行减肥，根据您的情况，首先在日常生活中控制饮食的摄入量，通过慢跑爬山游泳等方法进行调理身体的健康状态，促进身体的脂肪消耗。
拇外翻一定要动手术吗？,得了拇外翻畸形，首先要注意休息和保暖，避免剧烈活动，尽量减少负重，不要从事跑跳运动，穿宽松点的鞋子，可以口服消炎镇痛药物和活血化瘀消肿止痛药物治疗，如果症状不缓解就需要手术矫形治疗。
良性左胫骨软骨母细胞瘤能否治愈?,可以治愈。 
"我是在一次劳动中不小心碰到了膝盖骨,开始的时候没怎么在意",你好，根据你的描述，这种情况应该是由于创伤性关节炎引起的。你可以口服活血止痛胶囊，注意保暖，一般情况下可以进行理疗治疗。忌食辛辣刺激性食物，清淡饮食。
