商品名称,商品价格,商品评价量,店铺名,标签,商品链接
华为HUAWEI FreeBuds 4E 真无线蓝牙耳机 半入耳主动降噪 游戏运动音乐耳机 高解析音质 冰霜银,449.00,20万+,华为京东自营官方旗舰店,"自营,赠",https://item.jd.com/100019503229.html
Apple AirPods 配充电盒 Apple蓝牙耳机 适用iPhone/iPad/Apple Watch,999.00,400万+,Apple产品京东自营旗舰店,"自营,券800-100",https://item.jd.com/100004325476.html
雷柏（Rapoo） VH160 有线耳机 虚拟7.1声道游戏耳机 USB电脑耳麦 电竞耳机 头戴式 立体环绕声 黑色,89.00,10万+,雷柏京东自营官方旗舰店,自营,https://item.jd.com/100025491296.html
韶音（SHOKZ） OpenRun Pro骨传导蓝牙耳机运动无线耳骨传导耳机跑步骑行S810/S811 骑士黑,1298.00,10万+,SHOKZ韶音京东自营官方旗舰店,自营,https://item.jd.com/10041910474844.html
西伯利亚（XIBERIA） S21电脑头戴式电竞游戏耳麦主播不求人吃鸡听声辨位绝地求生有线带麦 S21灰色3.5mm（手游版/手机版）,249.00,5万+,西伯利亚耳机旗舰店,,https://item.jd.com/56864013217.html
漫步者（EDIFIER）LolliPods Pro 真无线主动降噪蓝牙耳机 无线耳机 适用苹果小米华为手机 雪映白,229.00,20万+,漫步者京东自营旗舰店,"自营,满229-30",https://item.jd.com/100018625698.html
DIRIGIBLE适用华为真无线蓝牙耳机骨传导概念不入耳舒适运动跑步健身迷你夹耳耳夹开放式通话降噪苹果安卓 【至尊肤】定向传声不漏音,129.00,2万+,Dirigible迪罗格旗舰店,"京东物流,新品,免邮,券100-24",https://item.jd.com/10072899341798.html
小米（MI）Redmi Buds 4 Pro 真无线蓝牙耳机 主动降噪 游戏低延迟 苹果华为手机通用（镜湖白）,349.00,20万+,小米京东自营旗舰店,"自营,每满349-20,赠",https://item.jd.com/100039518030.html
OPPO Enco Air2 真无线半入耳式蓝牙耳机 音乐游戏运动耳机 AI通话降噪 通用小米苹果华为手机晨雾白,149.00,20万+,OPPO京东自营官方旗舰店,"自营,赠",https://item.jd.com/100031589756.html
Apple AirPods Pro (第二代) 配MagSafe无线充电盒 主动降噪无线蓝牙耳机 适用iPhone/iPad/Apple Watch,1899.00,20万+,Apple产品京东自营旗舰店,"自营,券800-100",https://item.jd.com/100038004391.html
瑞德罗曼REDROMAN德国品牌骨传导无线蓝牙运动耳机夹耳式开放不入耳降噪游戏音乐跑步超长续航华为苹果通用 星空黑【杜比全景音效+长续航】,1888.00,40,瑞德罗曼耳机耳麦旗舰店,,https://item.jd.com/10071295820428.html
beats Beats Flex 蓝牙无线 入耳式手机耳机 颈挂式耳机 带麦可通话 Beats 经典黑红,449.00,20万+,Beats京东自营旗舰店,"自营,满449-50",https://item.jd.com/100009440877.html
线下同款苹果（Apple）airpods pro二代苹果无线蓝牙耳机2代 支持主动降噪 AirPods Pro【第二代】,1515.00,20万+,疆界旗舰店,免邮,https://item.jd.com/10060125485760.html
monqiqi【央视推荐】蓝牙耳机开放式骨传导概念真无线不入耳舒适运动迷你通话降噪夹耳耳夹式气传导 【零光黑】定向传声不漏音丨久戴不痛丨蓝,189.00,10万+,蒙奇奇（monqiqi）官方旗舰店,"京东物流,免邮",https://item.jd.com/10058104029613.html
Apple AirPods (第三代) 配MagSafe无线充电盒 无线蓝牙耳机 Apple耳机 适用iPhone/iPad/Apple Watch,1399.00,50万+,Apple产品京东自营旗舰店,"自营,券800-100",https://item.jd.com/100028057022.html
极度未知（HYPERX）飓风2 cloud二原金士顿电竞游戏耳机头戴式有线电脑吃鸡fps耳麦7.1声道外置声卡降噪麦克风 黑红,479.00,5万+,HYPERX官方京东自营旗舰店,自营,https://item.jd.com/100025337486.html
DIJO【2023新款】Air蓝牙耳机双耳无线降噪适用于苹果14/13/12华为oppo小米vivo荣耀华强北 【华强北旗舰】【空间功能+ 任意名字+超强续航+秒连接】,59.90,20万+,颂者手机配件专营店,,https://item.jd.com/10053207693692.html
JBL T280TWS X2 真无线蓝牙耳机 半入耳音乐耳机 通话降噪运动防汗 苹果安卓手机带麦游戏 星空黑,259.00,10万+,JBL京东自营官方旗舰店,自营,https://item.jd.com/100038791109.html
漫步者（EDIFIER）H180Plus 半入耳式有线耳机 手机耳机 音乐耳机 3.5mm接口 电脑笔记本手机适用,39.00,20万+,漫步者京东自营旗舰店,"自营,满49-10",https://item.jd.com/100007522725.html
华为（HUAWEI）原装Type-C耳机华为经典耳机 白色适用于华为P20 Pro/P20/Mate10 Pro/Mate10系列等手机CM33,69.00,50万+,华为京东自营官方旗舰店,自营,https://item.jd.com/5779012.html
韶音（SHOKZ）舒适圈OpenFit开放式蓝牙耳机不入耳运动跑步长续航通话降噪T910 暖日白,1298.00,1万+,韶音（SHOKZ）京东自营旗舰店,"自营,新品",https://item.jd.com/100049060778.html
华为（HUAWEI）HUAWEI FreeBuds 5半入耳式降噪蓝牙耳机 水滴设计超磁感澎湃单元 音乐游戏运动 至臻版冰霜银,899.00,5万+,华为京东自营官方旗舰店,自营,https://item.jd.com/100046781472.html
西伯利亚（XIBERIA）S21 游戏耳机头戴式 电脑电竞有线耳机耳麦 7.1声道线控不求人主播吃鸡听声辨位绝地求生带麦 S21D灰色【3.5mm手机手游版】,259.00,5000+,西伯利亚官方旗舰店,,https://item.jd.com/10072566550219.html
小米（MI）Redmi Buds 4 Pro 真无线蓝牙耳机 主动降噪 游戏低延迟 苹果华为手机通用（极夜黑）,349.00,20万+,小米京东自营旗舰店,"自营,每满349-20,赠",https://item.jd.com/100039518042.html
ENKOR恩科EW12 无线蓝牙耳机运动跑步迷你耳夹开放式骨传导概念通话降噪适用于华为小米手机,129.00,50万+,恩科京东自营旗舰店,"自营,每满120-40",https://item.jd.com/100049874019.html
漫步者（EDIFIER）W200BT Free 颈挂式无线运动蓝牙耳机 蓝牙5.3 手机耳机 通话降噪 黑色,149.00,10万+,漫步者京东自营旗舰店,"自营,满149-20",https://item.jd.com/100041879613.html
【2023新款】适用华为蓝牙耳机挂脖式无线大电量运动降噪超长续航苹果小米OPPOvivo通用维肯 【炫雅黑】800H超长续航|大容量 防水抗汗丨9D立体音效丨,139.00,5万+,维肯旗舰店,"京东物流,免邮,券20-10",https://item.jd.com/10051916451290.html
小米（MI）Redmi Buds 4 青春版 真无线蓝牙耳机 半入耳舒适佩戴 小米华为苹果手机通用 子夜黑,129.00,20万+,小米京东自营旗舰店,"自营,每满129-10,赠",https://item.jd.com/100041109504.html
唐麦Q5蓝牙耳机骨传导气传导不入耳开放式耳挂式耳麦运动耳机,699.00,13,唐麦京东自营旗舰店,自营,https://item.jd.com/100058721729.html
JBL T280TWS X2 真无线蓝牙耳机 半入耳音乐耳机 通话降噪运动防汗 苹果安卓手机带麦游戏 珍珠白,259.00,10万+,JBL京东自营官方旗舰店,自营,https://item.jd.com/100038791123.html
华为HUAWEI FreeBuds 5i 真无线入耳式降噪蓝牙耳机 音乐游戏运动耳机 安卓苹果手机通用 陶瓷白,439.00,10万+,华为京东自营官方旗舰店,"自营,满439-40,赠",https://item.jd.com/100024473109.html
IMEV华为通用蓝牙耳机骨传导概念无线耳机夹耳式不入耳舒适运动跑步开放式降噪通话长续航苹果小米荣耀 旗舰版：无感舒适佩戴【深空黑】,199.00,5000+,IMEV京东自营旗舰店,"自营,新品",https://item.jd.com/10075859597727.html
Linklike【好评5万+】蓝牙耳机半入耳式真无线【2023新款】高音质超长续航通话降噪运动华为苹果通用礼物 【G11】高音质款丨超长续航,498.00,5万+,Linklike旗舰店,"京东物流,每满399-100,赠",https://item.jd.com/10049955608188.html
小米（MI）Redmi Buds 4 活力版 白色 无线蓝牙耳机 28小时长续航 通话降噪 适用小米华为苹果手机,99.00,5000+,小米京东自营旗舰店,"自营,新品",https://item.jd.com/100060690633.html
商品名称,商品价格,商品评价量,店铺名,标签,商品链接
